"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"6218","DayGroupEarly3551",-0.0098280548160584,0.026849879030639,141,-0.366037210254966,0.714885923477412,"K16927","Early",0.971593838737842,0.122543939766552,0.116653310956803
"6219","DayGroupEarly1864",0.0438173337049218,0.120154446019347,179,0.364675092404542,0.715784421554052,"K04077","Early",0.972479524456195,2.05392253831761,2.06319981724654
"6220","DayGroupLate1826",0.00837811686278803,0.0229506188222249,105,0.365049715115954,0.715808563287556,"K04017","Late",0.849483656431618,0.0655465275184055,0.0710289383007384
"6221","DayGroupLate3072",-0.0192907064508092,0.052972468017086,179,-0.364164766583786,0.716164780059264,"K11071","Late",0.849590554734222,0.502629095964627,0.493720844754329
"6222","DayGroupEarly71",0.00808117114480195,0.02219372446816,138,0.364119648164305,0.716325959125524,"K00140","Early",0.972879792814397,0.0629956536056106,0.0506104310251177
"6223","DayGroupLate2059",0.00922528772028927,0.0253358579711962,137,0.364119807222527,0.716329904270834,"K05916","Late",0.849590554734222,0.0419014429006264,0.0446351536191488
"6224","DayGroupLate604",-0.024791981406572,0.0682626087714147,179,-0.363185378537039,0.716894941194082,"K01585","Late",0.850004835481397,0.937188092657803,0.931679454954823
"6225","DayGroupEarly2386",0.0077501633453419,0.0213743899617308,171,0.362591089580474,0.717358123204537,"K07149","Early",0.97394590124944,0.193911843473864,0.205698782836422
"6226","DayGroupEarly1498",0.013084179886458,0.0362201868352526,125,0.361239988793302,0.718529884609891,"K03478","Early",0.975200739015836,0.112760757865681,0.12916067594071
"6227","DayGroupLate161",-0.001583113257626,0.00439100453711593,145,-0.360535554961145,0.718971345654197,"K00366","Late",0.852210319457742,0.0239533093717983,0.0266939103190868
"6228","DayGroupEarly3863",0.0166211805373143,0.0460972947373122,119,0.360567374550523,0.719062115645502,"K21741","Early",0.975587030180192,0.0513822879289933,0.0558122883519314
"6229","DayGroupEarly3447",0.020459915234939,0.056865340643352,144,0.359795879237927,0.719526905991706,"K15724","Early",0.975881586783931,0.145013873517685,0.169643146117266
"6230","DayGroupLate2134",0.0188374904861348,0.0524130850930597,179,0.359404344405385,0.71971625128939,"K06183","Late",0.852803812120579,0.530087206418012,0.514528747806742
"6231","DayGroupLate3660",0.00351448121087201,0.00977359444475066,101,0.359589425440056,0.719904943937321,"K18918","Late",0.852803812120579,0.0373141272495166,0.0398138522987776
"6232","DayGroupEarly3015",0.00923552224912734,0.0257135169597996,135,0.35916993632439,0.72002911594481,"K10538","Early",0.975950191278242,0.0448490352434849,0.0521995521110646
"6233","DayGroupEarly1214",0.0315566620976443,0.087927805917482,179,0.358892864076006,0.720098201522348,"K02761","Early",0.975950191278242,0.127707917087932,0.151741157494973
"6234","DayGroupLate2377",-0.00861638776742282,0.0240191724445962,120,-0.358729585180247,0.720427755066521,"K07136","Late",0.853166623072465,0.100481240950299,0.110581289928624
"6235","DayGroupEarly2368",0.0068032688481746,0.0189807105914898,136,0.358430671780272,0.720576810179195,"K07118","Early",0.975950191278242,0.0727880218375461,0.0930424831238198
"6236","DayGroupEarly982",-0.0064642280763092,0.0180754275568407,173,-0.357625182363269,0.72105975255647,"K02242","Early",0.975950191278242,0.0751212312652879,0.0872320018785134
"6237","DayGroupEarly2669",0.0144901275462724,0.0405717718361615,179,0.357148009329909,0.721401709290969,"K08177","Early",0.975950191278242,0.18056722067534,0.180118143508287
"6238","DayGroupEarly1205",-0.00415081444179002,0.011623154806968,162,-0.35711599051418,0.721469742279744,"K02749","Early",0.975950191278242,0.0805421330737816,0.078312007721117
"6239","DayGroupLate2467",0.0112693655372476,0.0315696448453285,132,0.356968397727008,0.721685490270268,"K07336","Late",0.853916829533643,0.116012548012718,0.134695420071937
"6240","DayGroupEarly1335",0.0207309943691405,0.0581142311603321,159,0.356728359908014,0.721768137594746,"K03071","Early",0.975950191278242,0.186282635015735,0.219298146878412
"6241","DayGroupEarly2571",0.0039767246510889,0.0111479844751933,118,0.356721401966245,0.721937472952006,"K07673","Early",0.975950191278242,0.0185131741285017,0.02050954199514
"6242","DayGroupLate1037",0.0135807658326968,0.0381355808665876,179,0.356117974974798,0.722171588240975,"K02388","Late",0.853916829533643,0.169096173673925,0.166270338608202
"6243","DayGroupEarly3463",0.00767203123067166,0.0215368717406561,135,0.356227743892296,0.722226118450254,"K15830","Early",0.975950191278242,0.0380887059612908,0.0453811429819059
"6244","DayGroupLate2080",-0.00102735318317205,0.00288539005370279,130,-0.356053484641933,0.722377668662165,"K06013","Late",0.853916829533643,0.0161160397385525,0.0160459166593633
"6245","DayGroupLate614",-0.01322223303969,0.0371753160773128,179,-0.35567237712766,0.722504729595103,"K01599","Late",0.853916829533643,0.218396724098811,0.241692261566203
"6246","DayGroupLate3805",-0.0157101487674257,0.0441699394018274,168,-0.355675126119275,0.72253007273545,"K20866","Late",0.853916829533643,0.345733751467796,0.33786285253866
"6247","DayGroupLate943",-0.0148499283485402,0.0417614594141538,179,-0.35558930547114,0.722566842147625,"K02121","Late",0.853916829533643,0.498684511959894,0.48319592626106
"6248","DayGroupEarly707",0.0137010088178947,0.0385377781152074,179,0.355521503521452,0.722617538929886,"K01751","Early",0.975950191278242,0.280005703693666,0.287931307596799
"6249","DayGroupLate3355",-0.00315483608032847,0.00886148591547065,86,-0.356016599295233,0.722699997396434,"K14051","Late",0.853916829533643,0.0195889931387548,0.0191133579020128
"6250","DayGroupEarly2613",0.0285004685245618,0.0801452371618327,114,0.355610258748282,0.72278962243573,"K07740","Early",0.975950191278242,0.0667410659186531,0.0595683825183791
"6251","DayGroupLate3442",-0.0288977029955759,0.0813368949558994,179,-0.355284068948589,0.722795082866675,"K15633","Late",0.853916829533643,1.50298934067242,1.48780232171533
"6252","DayGroupEarly1588",-0.038474543146996,0.108345080812813,179,-0.355111121412777,0.722924415489195,"K03596","Early",0.975950191278242,2.20694784768126,2.24100613060926
"6253","DayGroupEarly79",0.0113941026950939,0.0320841337449601,146,0.355132003427825,0.723003209949733,"K00164","Early",0.975950191278242,0.0448709812207373,0.0513197869874927
"6254","DayGroupEarly1257",-0.0355840624389854,0.100308712590642,179,-0.354745480427043,0.72319787328145,"K02837","Early",0.975950191278242,0.761621526486939,0.802647633672836
"6255","DayGroupEarly3145",0.00875835126895819,0.0246718460125038,107,0.354993755413334,0.723293035160525,"K11744","Early",0.975950191278242,0.0431481307478946,0.0506615816761143
"6256","DayGroupEarly3068",0.0122843166102428,0.034652778856027,121,0.354497301970525,0.723583288134387,"K11066","Early",0.976007584816668,0.0500951171224466,0.0536872526143675
