"","GeneFamily","RPK","Sample_ID","RPKG"
"70","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",3.6563071298,"GO_Pt18_C1D1",0.00314651523539679
"71","UniRef90_P76440|unclassified",3.5823087196,"GO_Pt18_C1D1",0.00308283428168485
"72","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",24.9066002491,"GO_Pt18_C1D1",0.0214339207193509
"73","UniRef90_A0A0A6ZVN4|unclassified",2.6686458466,"GO_Pt18_C1D1",0.00229656167168445
"74","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",32.9050946216,"GO_Pt18_C1D3",0.0155324765967242
"75","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",25.5801392537,"GO_Pt18_C1D3",0.0120748145193974
"76","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",21.9246668972,"GO_Pt18_C1D3",0.010349290266079
"77","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",6.3985374771,"GO_Pt18_C1D3",0.00302035702249824
"78","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",17.4131110054,"GO_Pt18_C1D3",0.00821966149247878
"79","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",155.3226232253,"GO_Pt18_C1D7",0.085149402975772
"80","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",69.2026889014,"GO_Pt18_C1D7",0.03793760060133
"81","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",43.6771918972,"GO_Pt18_C1D7",0.0239442699104442
"82","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",21.0146761017,"GO_Pt18_C1D7",0.0115204539212129
"83","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",2.741395574,"GO_Pt18_C1D7",0.00150286025048604
"84","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",47.3664790162,"GO_Pt18_C2D1",0.0271584974755648
