food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species,taxon,taxrank,kraken_raw_reads,reads,sample_id,lineage,taxid_lineage,relative_abundance,total_reads,total_raw_reads,bacteria_reads,human_reads
182,Cocoa_bean,Cocoa and cocoa products,Cocoa,3641,genbank,species,3641,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma cacao,Theobroma cacao,species,5,8,GO_Pt2_C1D3_S53,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Theobroma;s__Theobroma cacao,2759;35493;3398;41938;3629;3640;3641,8.30247579828305e-06,963568,520287,962913,217
187,Common wheat,Cereals and cereal products,Cereals,4565,genbank,species,4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,species,24,137,GO_Pt2_C1D3_S53,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Triticum;s__Triticum aestivum,2759;35493;3398;38820;4479;4564;4565,0.000142179898045597,963568,520287,962913,217
22,Oat,Cereals and cereal products,Cereals,4498,genbank,species,4498,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Avena sativa,Avena sativa,species,3,4,GO_Pt2_C1D3_S53,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Avena;s__Avena sativa,2759;35493;3398;38820;4479;4496;4498,4.15123789914152e-06,963568,520287,962913,217
438,Pheasant,Animal foods,Poultry,9054,genbank,species,9054,Eukaryota,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,Phasianus colchicus,species,3,3,GO_Pt2_C1D3_S53,k__Eukaryota;p__Chordata;c__Aves;o__Galliformes;f__Phasianidae;g__Phasianus;s__Phasianus colchicus,2759;7711;8782;8976;9005;9053;9054,3.11342842435614e-06,963568,520287,962913,217
316,Bubalus_bubalis,Animal foods,Bovines,89462,genbank,species,89462,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,Bubalus bubalis,species,4,7,GO_Pt32_C1D1_S78_L002,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bubalus;s__Bubalus bubalis,2759;7711;40674;91561;9895;9918;89462,1.2292260792605e-05,569464,203663,561674,6414
187,Common wheat,Cereals and cereal products,Cereals,4565,genbank,species,4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,species,158,1100,GO_Pt32_C1D1_S78_L002,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Triticum;s__Triticum aestivum,2759;35493;3398;38820;4479;4564;4565,0.00193164098169507,569464,203663,561674,6414
120,Evening_primrose,Herbs and Spices,Oilseed crops,3942,genbank,species,3942,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis,Oenothera biennis,species,3,5,GO_Pt32_C1D1_S78_L002,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Myrtales;f__Onagraceae;g__Oenothera;s__Oenothera biennis,2759;35493;3398;41944;3934;3939;3942,8.78018628043213e-06,569464,203663,561674,6414
166,Sambucus nigra,Fruits,Berries,4202,genbank,species,4202,Eukaryota,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra,Sambucus nigra,species,5,7,GO_Pt32_C1D1_S78_L002,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Dipsacales;f__Adoxaceae;g__Sambucus;s__Sambucus nigra,2759;35493;3398;4199;4206;4201;4202,1.2292260792605e-05,569464,203663,561674,6414
187,Common wheat,Cereals and cereal products,Cereals,4565,genbank,species,4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,species,52,396,GO_Pt43_Baseline_S117_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Triticum;s__Triticum aestivum,2759;35493;3398;38820;4479;4564;4565,0.000442560458117129,894793,347315,871343,15891
241,Welsh_onion,Herbs and Spices,Herbs,35875,genbank,species,35875,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium fistulosum,Allium fistulosum,species,3,3,GO_Pt43_Baseline_S117_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium fistulosum,2759;35493;3398;73496;4668;4678;35875,3.35273074331158e-06,894793,347315,871343,15891
