"","Value","Std.Error","DF","t-value","p-value","Taxa","Group","FDR"
"DaysLinear362",-0.00597392345538832,0.00760757806987559,32,-0.78525956625326,0.438077007670896,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Ruminococcaceae;  g__uncultured;  s__uncultured_Ruminococcus","DaysLinear",0.740185468014662
"DaysLinear414",-0.00944837720211058,0.0122173827505236,42,-0.773355259063618,0.443643217254365,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Sutterellaceae;  g__Sutterella;  s__gut_metagenome","DaysLinear",0.740185468014662
"DaysLinear174",-0.00902994344826352,0.0115838033936734,18,-0.77953182917411,0.445795670548705,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__[Ruminococcus]_gauvreauii_group;  s__bacterium_ic1296","DaysLinear",0.740706652604002
"DaysLinear236",-0.0049220513613988,0.00650657640461644,76,-0.756473305670642,0.451704101561461,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Lachnospiraceae_NK4A136_group;  s__uncultured_organism","DaysLinear",0.746350483708073
"DaysLinear379",-0.00417277255871348,0.00550574127277846,43,-0.757894777828471,0.452647747063692,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Anaerovoracaceae;  g__Mogibacterium;  s__Mogibacterium_diversum","DaysLinear",0.746350483708073
"DaysLinear15",-0.00625496008456918,0.00834267079020101,37,-0.749755113424351,0.458143216927689,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Atopobiaceae;  g__uncultured;  s__uncultured_bacterium","DaysLinear",0.749688900427128
"DaysLinear261",-0.00478919540995146,0.00639169665899298,60,-0.749283901515127,0.456613805672747,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Shuttleworthia;  s__uncultured_bacterium","DaysLinear",0.749688900427128
"DaysLinear412",0.00626531148187015,0.00837710497599204,27,0.747908913619433,0.460980220345804,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Oxalobacteraceae; NA; NA","DaysLinear",0.751484736563725
"DaysLinear74",-0.00519394768884655,0.00714630789911681,70,-0.726801554336674,0.469771147026747,"d__Bacteria;  p__Cyanobacteria;  c__Cyanobacteriia;  o__Chloroplast;  f__Chloroplast;  g__Chloroplast; NA","DaysLinear",0.762936599682537
"DaysLinear3",0.00807867000142729,0.0111394326130393,25,0.725231731459174,0.475044138299642,"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__Actinomyces; NA","DaysLinear",0.76803437707048
"DaysLinear149",-0.00614067716983659,0.00856386443475896,34,-0.717045116327723,0.47824362831472,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridia_vadinBB60_group;  f__Clostridia_vadinBB60_group;  g__Clostridia_vadinBB60_group;  s__uncultured_organism","DaysLinear",0.76803437707048
"DaysLinear431",-0.0210593212435991,0.0284831432072382,10,-0.739360859522255,0.476685013887057,"d__Bacteria;  p__Verrucomicrobiota;  c__Verrucomicrobiae;  o__Verrucomicrobiales;  f__Akkermansiaceae;  g__Akkermansia; NA","DaysLinear",0.76803437707048
